"","row_index","species2","family2","order2","avibase.id2","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle"
"34",34,"Accipiter poliocephalus","Accipitridae","Accipitriformes","AVIBASE-435FF493",4,2,2,0,4,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,32.1,157.2,214.8,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"35",35,"Accipiter poliogaster","Accipitridae","Accipitriformes","AVIBASE-707547BB",5,2,3,0,3,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,29.6,174.6,315,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Insessorial"
"36",36,"Accipiter princeps","Accipitridae","Accipitriformes","AVIBASE-B202721E",2,1,1,0,2,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,29.2,192.3,214.8,"Inferred",NA,"YES","Body Mass","Accipiter poliocephalus","Forest","1","1","Carnivore","Vertivore","Insessorial"
"37",37,"Accipiter rhodogaster","Accipitridae","Accipitriformes","AVIBASE-C638D858",5,2,3,0,4,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,29.7,125.8,172.7,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"38",38,"Accipiter rufitorques","Accipitridae","Accipitriformes","AVIBASE-5B6F04D7",5,2,3,0,4,26,15.4,10.3,13.7,59.2,217.6,73.5,142,34.1,146,209,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Generalist"
"39",39,"Accipiter rufiventris","Accipitridae","Accipitriformes","AVIBASE-EC0E680F",5,2,3,0,4,20.3,10.7,7.8,10,54.2,218.6,83,134.3,38.1,165.8,198,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial"
"40",40,"Accipiter soloensis","Accipitridae","Accipitriformes","AVIBASE-D188E45C",5,2,3,0,4,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,39,123.4,164.8,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Insessorial"
"41",41,"Accipiter striatus","Accipitridae","Accipitriformes","AVIBASE-3B024163",20,8,10,2,16,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,30.7,134.3,130.6,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Aerial"
"42",42,"Accipiter superciliosus","Accipitridae","Accipitriformes","AVIBASE-F23F7695",5,2,3,0,4,19.4,10.8,6.7,10.4,37.4,146.4,38.6,105.2,26.9,104.6,96.4,"Updated_literature","BoW","NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial"
"43",43,"Accipiter tachiro","Accipitridae","Accipitriformes","AVIBASE-CD18635A",5,2,3,0,5,18,15.3,9.1,12.4,65.7,217.4,55.6,161.8,25.7,175,290.2,"Updated_literature","Jackson (1972); Dunning (2021)","NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial"
"44",44,"Accipiter toussenelii","Accipitridae","Accipitriformes","AVIBASE-8AFD72B2",6,2,2,2,5,24.4,13.9,9.2,11.9,62.1,189,48.2,149.6,24.4,157.2,249.3,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"45",45,"Accipiter trinotatus","Accipitridae","Accipitriformes","AVIBASE-0BED8100",8,2,3,3,4,20.4,13.3,8.6,11.2,48.2,162.9,43,115,27.2,128.8,146,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"46",46,"Accipiter trivirgatus","Accipitridae","Accipitriformes","AVIBASE-0D4EE0EB",15,9,4,2,12,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,23,171.9,265,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"47",47,"Accipiter virgatus","Accipitridae","Accipitriformes","AVIBASE-AB823002",15,9,5,1,13,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,117,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Generalist"
"48",48,"Aegypius monachus","Accipitridae","Accipitriformes","AVIBASE-158BDC90",4,2,2,0,4,87.8,59.9,27.9,39.8,134.2,734.2,302.2,432,41.1,371,9320.6,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Scavenger","Scavenger","Terrestrial"
"49",49,"Aquila adalberti","Accipitridae","Accipitriformes","AVIBASE-69742EE4",4,3,1,0,4,61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958,"Dunning",NA,"NO",NA,NA,"Woodland","1","2","Carnivore","Vertivore","Generalist"
"50",50,"Aquila africana","Accipitridae","Accipitriformes","AVIBASE-51FD3E3C",4,2,2,0,4,39.4,23.4,12.8,20.4,76.6,342.2,93.8,248.4,27.4,277.8,1047,"Dunning",NA,"NO",NA,NA,"Woodland","1","2","Carnivore","Vertivore","Generalist"
"51",51,"Aquila audax","Accipitridae","Accipitriformes","AVIBASE-5E574D70",6,2,4,0,6,60.5,40.9,19.6,31.2,104,617.7,244.5,373.2,39.6,387,3449.9,"Dunning",NA,"NO",NA,NA,"Woodland","1","2","Carnivore","Vertivore","Generalist"
"52",52,"Aquila chrysaetos","Accipitridae","Accipitriformes","AVIBASE-5F8E7CA8",8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4248,"Dunning",NA,"NO",NA,NA,"Grassland","3","2","Carnivore","Vertivore","Aerial"
"53",53,"Aquila fasciata","Accipitridae","Accipitriformes","AVIBASE-05F11441",4,2,2,0,4,45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.5,"Dunning",NA,"NO",NA,NA,"Rock","3","2","Carnivore","Vertivore","Aerial"
"54",54,"Aquila gurneyi","Accipitridae","Accipitriformes","AVIBASE-22A50A54",4,2,1,1,3,55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3060,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial"
"55",55,"Aquila heliaca","Accipitridae","Accipitriformes","AVIBASE-469DCF57",5,2,3,0,3,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.2,"Dunning",NA,"NO",NA,NA,"Woodland","1","3","Carnivore","Vertivore","Generalist"
"56",56,"Aquila nipalensis","Accipitridae","Accipitriformes","AVIBASE-A635F565",5,2,3,0,4,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.3,"Dunning",NA,"NO",NA,NA,"Grassland","3","3","Carnivore","Vertivore","Aerial"
"57",57,"Aquila rapax","Accipitridae","Accipitriformes","AVIBASE-F6D547B2",5,2,3,0,4,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.1,"Dunning",NA,"NO",NA,NA,"Shrubland","2","3","Carnivore","Vertivore","Generalist"
"58",58,"Aquila spilogaster","Accipitridae","Accipitriformes","AVIBASE-9A418C45",5,2,3,0,4,44,27.5,14.4,22.6,91.1,427.6,151.2,278.8,35.2,254.8,1466.2,"Dunning",NA,"NO",NA,NA,"Grassland","3","1","Carnivore","Vertivore","Generalist"
"59",59,"Aquila verreauxii","Accipitridae","Accipitriformes","AVIBASE-14F13C32",4,2,2,0,4,58.2,35.5,18.3,27.6,117.4,590.2,200.5,389.8,34,403.5,4195,"Dunning",NA,"NO",NA,NA,"Rock","3","1","Carnivore","Vertivore","Aerial"
"60",60,"Aviceda cuculoides","Accipitridae","Accipitriformes","AVIBASE-648936C0",5,2,3,0,3,25.5,17.1,10.6,13.9,33,264.6,114,153.5,42.4,154.2,277,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"61",61,"Aviceda jerdoni","Accipitridae","Accipitriformes","AVIBASE-0C89F1D6",5,1,3,1,4,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Carnivore","Omnivore","Insessorial"
"62",62,"Aviceda leuphotes","Accipitridae","Accipitriformes","AVIBASE-139A5705",5,2,3,0,4,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,194,"Dunning",NA,"NO",NA,NA,"Forest","2","3","Carnivore","Invertivore","Insessorial"
"63",63,"Aviceda madagascariensis","Accipitridae","Accipitriformes","AVIBASE-C8E60C39",5,2,3,0,4,28.6,20.1,11.6,16.2,38.7,314.2,106,207.5,33.8,169.2,277,"Inferred",NA,"YES","Body Mass","Aviceda cuculoides","Forest","1","1","Carnivore","Vertivore","Insessorial"
"64",64,"Aviceda subcristata","Accipitridae","Accipitriformes","AVIBASE-010AC994",5,2,3,0,3,28.3,19.7,11.6,14.7,36.3,336.6,134.5,200,40.2,202,322.7,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Carnivore","Omnivore","Insessorial"
"65",65,"Busarellus nigricollis","Accipitridae","Accipitriformes","AVIBASE-37148B74",6,1,2,3,5,40.8,27.1,12.5,17.6,76.1,393.5,105.9,283.1,27,199.8,766.1,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Aquatic predator","Insessorial"
"66",66,"Butastur indicus","Accipitridae","Accipitriformes","AVIBASE-2E1D79FE",5,0,2,3,4,40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,"Dunning",NA,"NO",NA,NA,"Woodland","2","3","Carnivore","Vertivore","Insessorial"
"67",67,"Butastur liventer","Accipitridae","Accipitriformes","AVIBASE-DAB52BF2",5,2,3,0,4,31.3,17,10.5,14,61.7,275,115.6,159.4,42,149,338,"Dunning",NA,"NO",NA,NA,"Woodland","3","1","Carnivore","Vertivore","Insessorial"
"68",68,"Butastur rufipennis","Accipitridae","Accipitriformes","AVIBASE-45A1D850",5,2,3,0,4,28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.9,"Dunning",NA,"NO",NA,NA,"Woodland","3","1","Carnivore","Invertivore","Insessorial"
"69",69,"Butastur teesa","Accipitridae","Accipitriformes","AVIBASE-868CD246",5,2,3,0,4,30.6,18,10.7,13.8,60.4,295.4,132,165,44.5,191,325,"Dunning",NA,"NO",NA,NA,"Woodland","3","1","Carnivore","Vertivore","Insessorial"
"70",70,"Buteo albigula","Accipitridae","Accipitriformes","AVIBASE-B7DB09E8",6,4,2,0,5,27.9,17.9,11.4,15.2,57.9,291,109.6,181.4,37.6,182.2,525,"EltonTraits_Model",NA,"NO",NA,NA,"Forest","2","3","Carnivore","Vertivore","Generalist"
"71",71,"Buteo albonotatus","Accipitridae","Accipitriformes","AVIBASE-597D7DD6",5,1,3,1,3,35.1,21.1,12.7,16.9,70.4,398,159.7,236.7,40.3,217,745.9,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial"
"72",72,"Buteo archeri","Accipitridae","Accipitriformes","AVIBASE-DE8B3F6B",4,2,2,0,3,41.1,25.4,13.1,18.8,87.3,390.8,127.8,265.2,32.5,175.8,1099.2,"DataFromSplit",NA,"NO",NA,NA,"Woodland","2","1","Carnivore","Vertivore","Insessorial"
"73",73,"Buteo augur","Accipitridae","Accipitriformes","AVIBASE-D41EDD2E",10,4,6,0,5,43.4,23.9,13.5,19,90.1,418,129.7,289.8,31,193.6,1099.2,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Carnivore","Vertivore","Insessorial"
"74",74,"Buteo auguralis","Accipitridae","Accipitriformes","AVIBASE-A16C3B99",5,2,3,0,4,33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.9,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"75",75,"Buteo bannermani","Accipitridae","Accipitriformes","AVIBASE-5AA3C196",0,0,0,0,0,35.9,22.1,12.6,16.6,75.8,383.2,147.2,237.2,38.3,214.4,759.1,"Inferred",NA,"YES","Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length; Body Mass","Buteo buteo","Grassland","3","2","Carnivore","Vertivore","Insessorial"
"76",76,"Buteo brachypterus","Accipitridae","Accipitriformes","AVIBASE-5CA7B50A",5,2,3,0,4,33.6,19.7,11.5,16.4,63.1,315.4,100.1,215.2,31.7,184.4,511,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"77",77,"Buteo brachyurus","Accipitridae","Accipitriformes","AVIBASE-81463CC0",5,1,4,0,4,31.1,17,10.4,14.9,53.8,307.6,90,213.3,29.7,171,496,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial"
"78",78,"Buteo buteo","Accipitridae","Accipitriformes","AVIBASE-3C6D4915",18,6,10,2,9,35.9,22.1,12.6,16.6,75.8,383.2,147.2,237.2,38.3,214.4,759.1,"Dunning",NA,"NO",NA,NA,"Grassland","3","2","Carnivore","Vertivore","Insessorial"
