"","row_index","species3","family3","order3","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle","min.latitude","max.latitude","centroid.latitude","centroid.longitude","range.size","species.status"
"49",49,"Accipiter ventralis","Accipitridae","Accipitriformes",5,2,3,0,4,18.4,9.9,6.5,9.3,50.7,180,52.8,130,28.8,126.4,233,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Generalist",NA,NA,NA,NA,NA,"Extant"
"50",50,"Accipiter virgatus","Accipitridae","Accipitriformes",15,9,5,1,13,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,27.4,123.9,116.99,"Dunning",NA,"NO",NA,NA,"Forest","1","2","Carnivore","Vertivore","Generalist",-8.98,35.61,22.08,101.2455545,4398429.71,"Extant"
"51",51,"Aegypius monachus","Accipitridae","Accipitriformes",4,2,2,0,4,87.8,59.9,27.9,39.8,134.2,734.2,302.2,432,41.1,371,9320.55,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Scavenger","Scavenger","Terrestrial",25.27,54.37,41.63,87.8709392,7718571.19,"Extant"
"52",52,"Aquila adalberti","Accipitridae","Accipitriformes",4,3,1,0,4,61.2,39.8,21.1,31,98.4,592.5,235,357.5,39.7,297,2958.03,"Dunning",NA,"NO",NA,NA,"Woodland","1","2","Carnivore","Vertivore","Generalist",36.28,41.56,39.06,-5.227081541,131221.76,"Extant"
"53",53,"Aquila africanus","Accipitridae","Accipitriformes",4,2,2,0,4,39.4,23.4,12.8,20.4,76.6,342.2,93.8,248.4,27.4,277.8,1047,"Dunning",NA,"NO",NA,NA,"Woodland","1","2","Carnivore","Vertivore","Generalist",-8.47,9.95,1.97,13.6823461,1918245.9,"Extant"
"54",54,"Aquila audax","Accipitridae","Accipitriformes",6,2,4,0,6,60.5,40.9,19.6,31.2,104,617.7,244.5,373.2,39.6,387,3449.86,"Dunning",NA,"NO",NA,NA,"Woodland","1","2","Carnivore","Vertivore","Generalist",-43.64,-8.78,-25.74,134.4829165,7679648.03,"Extant"
"55",55,"Aquila chrysaetos","Accipitridae","Accipitriformes",8,2,6,0,8,56.8,37,18.5,28.4,101.4,603.1,221.2,381.9,36.7,307.1,4247.97,"Dunning",NA,"NO",NA,NA,"Grassland","3","2","Carnivore","Vertivore","Aerial",6.36,71.12,50.67,38.05159818,39450257.98,"Extant"
"56",56,"Aquila clanga","Accipitridae","Accipitriformes",5,2,3,0,4,50.2,31.2,15.6,23.2,96.8,510.6,192.2,314.8,37.9,261.4,2154.29,"Dunning",NA,"NO",NA,NA,"Wetland","3","3","Carnivore","Vertivore","Generalist",38.72,65.94,55.15,73.96832227,8980278.98,"Extant"
"57",57,"Aquila fasciatus","Accipitridae","Accipitriformes",4,2,2,0,4,45.7,28.9,16.2,23.7,93.2,486.8,181.8,305,37.3,260,1936.49,"Dunning",NA,"NO",NA,NA,"Rock","3","2","Carnivore","Vertivore","Aerial",-10.37,45.24,27.52,62.07611381,5630034.84,"Extant"
"58",58,"Aquila gurneyi","Accipitridae","Accipitriformes",4,2,1,1,3,55.4,33.3,16.6,21.9,99.4,544.5,183.8,360.8,33.8,365.5,3059.99,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial",-10.73,2.65,-5.05,140.4580002,601810.35,"Extant"
